date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:40	114/114	---M-Z	200	added ('OK')	text/plain	etag:%226c6b7f304af64186a3520ef6745df6fc%22	https://warm-presentations-319589.framer.app/robots.txt		(from )
17:48:41	506064/506064	---M-Z	200	added ('OK')	text/html	etag:%22da3b087437d77f7ebdee8ebaeb4d3d55%22	https://warm-presentations-319589.framer.app/	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/warm-presentations-319589.framer.app/index.html	(from )
17:48:42	85489/85489	---MC-	200	added ('OK')	image/png	etag:%224e4d576d672b6019bb0d278d2a741bb4%22	https://framerusercontent.com/images/UQgFKuB9OvvASV1UWxcLkgDqQ.png	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/framerusercontent.com/images/UQgFKuB9OvvASV1UWxcLkgDqQ.png	(from https://warm-presentations-319589.framer.app/)
17:48:43	71587/71587	---MC-	200	added ('OK')	image/jpeg	etag:%22826a3d5c6b63c8d4667504c474fb5347%22	https://framerusercontent.com/images/CC98hSVlqUTIN23Ekl5ShCJFQEQ.jpg	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/framerusercontent.com/images/CC98hSVlqUTIN23Ekl5ShCJFQEQ.jpg	(from https://warm-presentations-319589.framer.app/)
17:48:44	565017/565017	---M-Z	200	added ('OK')	text/html	etag:%227480d9b9ba6756e139e098669cbe8be0%22	https://warm-presentations-319589.framer.app/menu	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/warm-presentations-319589.framer.app/menu.html	(from https://warm-presentations-319589.framer.app/)
17:48:44	565017/565017	---M-Z	200	added ('OK')	text/html	etag:%227480d9b9ba6756e139e098669cbe8be0%22	https://warm-presentations-319589.framer.app/about	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/warm-presentations-319589.framer.app/about.html	(from https://warm-presentations-319589.framer.app/)
17:48:45	565017/565017	---M-Z	200	added ('OK')	text/html	etag:%227480d9b9ba6756e139e098669cbe8be0%22	https://warm-presentations-319589.framer.app/blog	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/warm-presentations-319589.framer.app/blog.html	(from https://warm-presentations-319589.framer.app/)
17:48:46	565017/565017	---M-Z	200	added ('OK')	text/html	etag:%227480d9b9ba6756e139e098669cbe8be0%22	https://warm-presentations-319589.framer.app/order	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/warm-presentations-319589.framer.app/order.html	(from https://warm-presentations-319589.framer.app/)
17:48:46	64344/64344	---MC-	200	added ('OK')	image/png	etag:%22b9660c802154b1add8474182d8044c7c%22	https://framerusercontent.com/images/iZJJWAhsJ07eqJ8RZA2gVz1ZkY.png?width=612&height=408	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/framerusercontent.com/images/iZJJWAhsJ07eqJ8RZA2gVz1ZkY7c75.png	(from https://warm-presentations-319589.framer.app/)
17:48:47	95744/95744	---MC-	200	added ('OK')	image/png	etag:%225bae39db0e2b451b10d66f904dabd16c%22	https://framerusercontent.com/images/QVfINAMQJC2ajSGklcI17VhcYzo.png?width=500&height=500	C:/Users/ASUS/Desktop/VS%20CODE/FRAMER/sWEETORIA/SWEETORIA/framerusercontent.com/images/QVfINAMQJC2ajSGklcI17VhcYzo95a5.png	(from https://warm-presentations-319589.framer.app/)
